City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,jamestown,42.097,-79.2353,280.68,87,75,2.57,US,03-02-2025
165,anadyr,64.75,177.4833,273.43,86,20,10.0,RU,04-02-2025
166,magong,23.5654,119.5863,287.1,78,100,17.47,TW,04-02-2025
167,langsa,4.4683,97.9683,295.17,89,97,0.62,ID,04-02-2025
168,kingston,17.997,-76.7936,304.35,58,20,4.12,JM,03-02-2025
169,lata,40.1629,-8.3327,279.62,80,0,1.15,PT,03-02-2025
170,crucecita,-28.95,-58.9833,314.99,14,0,3.21,AR,03-02-2025
171,lawas,13.764,121.0566,296.26,93,93,2.97,PH,04-02-2025
172,mount isa,-20.7333,139.5,297.02,100,100,2.57,AU,04-02-2025
173,taltal,-25.4,-70.4833,294.98,73,35,3.42,CL,03-02-2025
174,tsiombe,-25.3,45.4833,298.4,68,84,5.94,MG,03-02-2025
175,constantia,44.1833,28.65,272.53,66,3,5.97,RO,03-02-2025
176,sorong,-0.8833,131.25,298.63,87,100,6.38,ID,04-02-2025
177,sao jose dos pinhais,-25.5347,-49.2064,295.02,94,100,3.09,BR,03-02-2025
178,choibalsan,48.0667,114.5,254.14,98,100,3.38,MN,04-02-2025
179,praya,14.9215,-23.5087,297.45,38,75,10.8,CV,03-02-2025
180,codrington,-38.2667,141.9667,298.01,57,100,4.6,AU,04-02-2025
181,san antonio de pale,-1.4014,5.6325,300.74,75,74,0.91,GQ,03-02-2025
182,nar'yan-mar,67.6713,53.087,244.93,93,8,3.87,RU,03-02-2025
183,sinop,41.7711,34.8709,278.11,92,97,1.13,TR,03-02-2025
184,achinsk,56.2694,90.4993,250.18,100,91,1.12,RU,04-02-2025
185,micheweni,-4.9667,39.8333,299.87,78,30,7.22,TZ,03-02-2025
186,dryden,49.7833,-92.7503,254.31,71,75,6.17,CA,03-02-2025
187,galle,6.0367,80.217,298.74,78,87,1.29,LK,04-02-2025
188,astrakhan,46.3497,48.0408,275.08,87,40,4.0,RU,03-02-2025
189,chasong,41.4608,126.6414,250.35,98,51,0.96,KP,04-02-2025
190,petropavlovsk-kamchatsky,53.0452,158.6483,255.48,51,0,2.0,RU,04-02-2025
191,bumba,2.1833,22.4667,302.76,32,100,0.17,CD,03-02-2025
192,betio village,1.358,172.9211,300.17,88,6,7.92,KI,04-02-2025
193,sao joao da barra,-21.6403,-41.0511,307.2,84,100,6.04,BR,03-02-2025
194,dudinka,69.4058,86.1778,251.21,87,100,3.74,RU,04-02-2025
195,howard springs,-12.497,131.047,303.1,95,100,6.56,AU,04-02-2025
196,antsiranana,-12.2787,49.2917,298.57,87,100,4.68,MG,03-02-2025
197,ad dilam,23.9915,47.1627,286.41,20,8,1.51,SA,03-02-2025
198,salinopolis,-0.6136,-47.3561,298.22,92,100,6.19,BR,03-02-2025
199,kittila,67.6647,24.8936,245.23,83,0,0.51,FI,03-02-2025
200,georgiyevka,43.0369,74.7114,258.17,85,10,2.0,KZ,03-02-2025
201,mammoth lakes,37.6485,-118.9721,284.55,14,0,11.32,US,03-02-2025
202,vilyuchinsk,52.9306,158.4028,256.3,68,1,4.0,RU,04-02-2025
203,lamu,-2.2717,40.902,298.18,80,100,7.39,KE,03-02-2025
204,talnakh,69.4865,88.3972,251.45,98,100,2.23,RU,04-02-2025
205,likiep,9.8251,169.3107,299.7,71,100,9.29,MH,04-02-2025
206,san jose del guaviare,2.5729,-72.6459,307.89,32,26,3.69,CO,03-02-2025
207,weno,7.4515,151.8468,301.12,83,100,4.12,FM,04-02-2025
208,holualoa,19.6228,-155.9522,293.63,77,0,0.45,US,03-02-2025
209,labrador city,52.9463,-66.9114,258.1,72,75,4.63,CA,03-02-2025
210,la'ie,21.6477,-157.9253,296.54,68,96,1.34,US,03-02-2025
211,beau vallon,-20.4189,57.6953,300.28,94,40,4.12,MU,03-02-2025
212,alotau,-10.3069,150.4462,299.11,90,100,2.66,PG,04-02-2025
213,rongelap,11.1635,166.8941,299.84,66,100,9.26,MH,04-02-2025
214,san rafael,-34.6177,-68.3301,301.84,22,50,3.74,AR,03-02-2025
215,cooper's town,26.8667,-77.5167,296.14,78,10,4.15,BS,03-02-2025
216,polyarnyy,69.1989,33.4478,255.28,100,88,1.53,RU,03-02-2025
217,jati,24.3539,68.2671,291.08,62,0,3.49,PK,03-02-2025
218,tindouf,27.6711,-8.1474,294.4,12,0,2.57,DZ,03-02-2025
219,junin,-34.5838,-60.9433,315.64,9,30,5.03,AR,03-02-2025
220,xiaoweizhai,26.1903,107.5125,275.54,85,8,1.85,CN,04-02-2025
221,horta,38.5333,-28.6333,288.95,87,75,6.71,PT,03-02-2025
222,aykhal,66.0,111.5,256.54,95,100,15.02,RU,04-02-2025
223,swakopmund,-22.6833,14.5333,291.15,85,72,3.22,NA,03-02-2025
224,kingscliff,-28.2667,153.5667,295.34,100,75,2.57,AU,04-02-2025
225,chishmy,54.5765,55.3764,271.42,92,100,5.2,RU,03-02-2025
226,saudarkrokur,65.7461,-19.6394,272.04,81,100,18.12,IS,03-02-2025
227,thurso,58.5927,-3.5259,283.29,74,100,8.88,GB,03-02-2025
228,al jubayl,27.0112,49.6583,289.74,44,6,2.44,SA,03-02-2025
229,avarua,-21.2078,-159.775,302.18,74,100,3.09,CK,03-02-2025
230,hadibu,12.65,54.0333,294.96,64,61,6.51,YE,03-02-2025
231,ust'-kulom,61.6864,53.6902,268.81,95,100,3.99,RU,03-02-2025
